drug_name,g2032r_score,wt_score,met_score,composite_score,mw,tpsa,clogp,cns_mpo,cns_penetrant,target,is_known_ros1_tki,is_candidate,source
Alpha-Estradiol,-8.92,,,-9.42,272.4,40.5,3.61,4.79,True,Estrogen/progestogen Receptor,False,True,selleckchem_L1300
Indirubin?(NSC 105327),-8.92,,,-9.42,262.3,58.2,2.66,5.25,True,GSK-3,False,True,selleckchem_L1300
Dolasetron,-8.9,,,-9.4,324.4,62.4,2.52,5.75,True,5-HT Receptor,False,True,selleckchem_L1300
Canrenone,-8.9,,,-9.4,340.5,43.4,4.37,4.97,True,Mineralocorticoid Receptor,False,True,selleckchem_L1300
zidesamtinib,-9.1,-9.165,-9.837,-9.4,451.5,109.9,4.06,1.98,False,ROS1,True,False,control
Evodiamine,-8.88,,,-9.38,303.4,39.3,3.31,5.46,True,,False,True,selleckchem_L1300
Flavoxate HCl,-8.88,,,-9.38,391.5,59.8,4.41,4.6,True,AChR,False,True,selleckchem_L1300
Darifenacin HBr,-8.87,,,-9.37,426.6,55.6,3.96,4.32,True,AChR,False,True,selleckchem_L1300
Cabotegravir Sodium,-8.87,,,-9.37,405.4,100.9,0.96,4.22,False,Integrase,False,True,selleckchem_L1300
Saquinavir Mesylate,-9.367,,,-9.367,670.9,166.8,3.09,1.43,False,HIV Protease,False,True,selleckchem_L1300
Ceritinib dihydrochloride,-8.865,-8.13,-8.763,-9.365,558.1,105.2,6.36,0.99,False,"ALK,IGF-1R,Serine/threonin kinase",True,False,selleckchem_L1300
Imatinib (STI571),-9.364,,,-9.364,493.6,86.3,4.59,2.63,False,"Autophagy,Bcr-Abl,c-Kit,PDGFR",False,True,selleckchem_L1300
Palonosetron,-8.85,,,-9.35,296.4,23.6,2.66,4.77,True,5-HT Receptor,False,True,selleckchem_L1300
Estrone,-8.85,,,-9.35,270.4,37.3,3.82,4.93,True,Estrogen/progestogen Receptor,False,True,selleckchem_L1300
Danicopan (ACH-4471),-9.34,,,-9.34,580.4,123.0,3.74,2.2,False,Complement System,False,True,selleckchem_L1300
Hederagenin,-9.33,,,-9.33,472.7,77.8,6.21,2.04,False,,False,True,selleckchem_L1300
Desonide,-8.83,,,-9.33,416.5,93.1,2.33,4.49,False,Glucocorticoid Receptor,False,True,selleckchem_L1300
